d1,d2,score,count,n1,n2
DCC0191,DCC0117,0.7871334332066976,16,Etoposide,Cisplatin
DCC0191,DCC0123,0.7620037973120463,41,Etoposide,Cyclophosphamide
DCC0191,DCC0096,0.7542048420038923,29,Etoposide,Epirubicin
DCC0012,DCC0008,0.7564218315232741,14,Bevacizumab,Trastuzumab
DCC0323,DCC0117,0.8025044516881376,17,Paclitaxel,Cisplatin
DCC0323,DCC0259,0.7542299792293606,25,Paclitaxel,Doxorubicin
DCC0323,DCC0123,0.7520162290270769,25,Paclitaxel,Cyclophosphamide
DCC0189,DCC0117,0.7615978105830555,15,Irinotecan,Cisplatin
DCC0256,DCC0117,0.7721979864052959,16,Cytarabine,Cisplatin
DCC0128,DCC0012,0.778336492428165,14,Fluorouracil,Bevacizumab
DCC0128,DCC0117,0.8012570396865518,16,Fluorouracil,Cisplatin
DCC0128,DCC0008,0.753935698203063,14,Fluorouracil,Trastuzumab
DCC0128,DCC0123,0.7571629783034137,40,Fluorouracil,Cyclophosphamide
DCC0128,DCC0120,0.7650279327590678,14,Fluorouracil,Oxaliplatin
DCC0128,DCC0096,0.7538586015906501,28,Fluorouracil,Epirubicin
DCC0325,DCC0117,0.7648215485851293,15,Dexamethasone,Cisplatin
DCC0325,DCC0259,0.7562502029985063,40,Dexamethasone,Doxorubicin
DCC0325,DCC0123,0.7915300594461018,39,Dexamethasone,Cyclophosphamide
DCC0325,DCC0156,0.7665881432967867,40,Dexamethasone,Prednisone
DCC0117,DCC0191,0.7871334332066976,16,Cisplatin,Etoposide
DCC0117,DCC0012,0.8144573626955735,15,Cisplatin,Bevacizumab
DCC0117,DCC0323,0.8025044516881376,17,Cisplatin,Paclitaxel
DCC0117,DCC0016,0.7552649783220377,15,Cisplatin,Bortezomib
DCC0117,DCC0008,0.7867142358004399,15,Cisplatin,Trastuzumab
DCC0117,DCC0009,0.7900334010121927,15,Cisplatin,Rituximab
DCC0117,DCC0156,0.7734104896182301,15,Cisplatin,Prednisone
DCC0117,DCC0094,0.7920370393587339,15,Cisplatin,Gemcitabine
DCC0117,DCC0096,0.7554124830925455,15,Cisplatin,Epirubicin
DCC0259,DCC0191,0.7530808645080864,39,Doxorubicin,Etoposide
DCC0259,DCC0012,0.7818723632331781,15,Doxorubicin,Bevacizumab
DCC0259,DCC0117,0.8361690329390589,16,Doxorubicin,Cisplatin
DCC0259,DCC0008,0.7564603558328582,15,Doxorubicin,Trastuzumab
DCC0259,DCC0009,0.7615089884660609,15,Doxorubicin,Rituximab
DCC0259,DCC0123,0.8060860420760133,42,Doxorubicin,Cyclophosphamide
DCC0259,DCC0156,0.7748385935349279,41,Doxorubicin,Prednisone
DCC0259,DCC0120,0.7686454528591615,15,Doxorubicin,Oxaliplatin
DCC0245,DCC0128,0.7526679580760901,21,Carboplatin,Fluorouracil
DCC0245,DCC0117,0.7547134991558284,16,Carboplatin,Cisplatin
DCC0245,DCC0123,0.7631178236735661,24,Carboplatin,Cyclophosphamide
DCC0009,DCC0117,0.7900334010121927,15,Rituximab,Cisplatin
DCC0009,DCC0329,0.7594459698461351,15,Rituximab,Docetaxel
DCC0123,DCC0012,0.7870871842037891,15,Cyclophosphamide,Bevacizumab
DCC0123,DCC0117,0.8416746752663882,16,Cyclophosphamide,Cisplatin
DCC0123,DCC0008,0.7613644253683969,15,Cyclophosphamide,Trastuzumab
DCC0123,DCC0009,0.7745060823662732,15,Cyclophosphamide,Rituximab
DCC0123,DCC0120,0.7735466143706251,15,Cyclophosphamide,Oxaliplatin
DCC0123,DCC0311,0.7565241922738403,31,Cyclophosphamide,Ifosfamide
DCC0156,DCC0117,0.7734104896182301,15,Prednisone,Cisplatin
DCC0156,DCC0123,0.8080550813208907,41,Prednisone,Cyclophosphamide
DCC0120,DCC0117,0.7831460419754362,16,Oxaliplatin,Cisplatin
DCC0120,DCC0259,0.7686454528591615,15,Oxaliplatin,Doxorubicin
DCC0120,DCC0123,0.7735466143706251,15,Oxaliplatin,Cyclophosphamide
DCC0120,DCC0094,0.7537023933910458,14,Oxaliplatin,Gemcitabine
DCC0295,DCC0012,0.7703032891460991,14,Capecitabine,Bevacizumab
DCC0295,DCC0117,0.8030447535688628,15,Capecitabine,Cisplatin
DCC0295,DCC0123,0.7552446693811529,40,Capecitabine,Cyclophosphamide
DCC0295,DCC0120,0.7572632108438719,14,Capecitabine,Oxaliplatin
DCC0295,DCC0096,0.7580588108914385,28,Capecitabine,Epirubicin
DCC0329,DCC0012,0.7848277628653524,15,Docetaxel,Bevacizumab
DCC0329,DCC0323,0.7615240036154992,25,Docetaxel,Paclitaxel
DCC0329,DCC0325,0.7509046362113717,24,Docetaxel,Dexamethasone
DCC0329,DCC0117,0.8425897756742098,16,Docetaxel,Cisplatin
DCC0329,DCC0008,0.7595023060895669,15,Docetaxel,Trastuzumab
DCC0329,DCC0259,0.7818595964719917,25,Docetaxel,Doxorubicin
DCC0329,DCC0009,0.7594459698461351,15,Docetaxel,Rituximab
DCC0329,DCC0123,0.7817951097700591,25,Docetaxel,Cyclophosphamide
DCC0329,DCC0156,0.7607579461317041,23,Docetaxel,Prednisone
DCC0329,DCC0120,0.7728040360025904,15,Docetaxel,Oxaliplatin
DCC0329,DCC0295,0.7546058219106563,24,Docetaxel,Capecitabine
DCC0094,DCC0012,0.7535618167055996,15,Gemcitabine,Bevacizumab
DCC0096,DCC0191,0.7542048420038923,29,Epirubicin,Etoposide
DCC0131,DCC0123,0.756772506005938,40,Methotrexate,Cyclophosphamide
DCC0288,DCC0123,0.7520176214992876,31,Fludarabine,Cyclophosphamide
DCC0311,DCC0259,0.7513460751180353,30,Ifosfamide,Doxorubicin
DCC0311,DCC0123,0.7565241922738403,31,Ifosfamide,Cyclophosphamide
DCC1121,DCC0123,0.7519851768845436,14,Sargramostim,Cyclophosphamide
DCC1471,DCC0123,0.7529782650905472,30,Busulfan,Cyclophosphamide
DCC0191,DCC0153,0.7910758670338229,26,Etoposide,Clofarabine
DCC0191,DCC0369,0.7715765725164466,24,Etoposide,Trabectedin
DCC0191,DCC0079,0.7527504599164567,27,Etoposide,Sorafenib
DCC0191,DCC0046,0.7879935338734677,25,Etoposide,Mitomycin
DCC0191,DCC0108,0.7903362317713466,24,Etoposide,Altretamine
DCC0191,DCC0288,0.7777682026769548,27,Etoposide,Fludarabine
DCC0191,DCC0420,0.759220383274041,11,Etoposide,Tirapazamine
DCC0191,DCC0275,0.7530084217423026,11,Etoposide,Procainamide
DCC0191,DCC1555,0.7539741922424414,11,Etoposide,Panitumumab
DCC0191,DCC1639,0.7696690297222771,16,Etoposide,Ixabepilone
DCC0191,DCC1129,0.7696447844583224,10,Etoposide,Palifermin
DCC0191,DCC1235,0.7525666938983067,14,Etoposide,Chlorambucil
DCC0191,DCC1471,0.7612871591229855,28,Etoposide,Busulfan
DCC0191,DCC1245,0.7662299455995886,25,Etoposide,Floxuridine
DCC0191,DCC1688,0.7534010699054408,16,Etoposide,Axitinib
DCC0191,DCC1321,0.7559970378597769,15,Etoposide,Vinblastine
DCC0012,DCC0153,0.7787928088855084,10,Bevacizumab,Clofarabine
DCC0012,DCC0108,0.7910112352666154,10,Bevacizumab,Altretamine
DCC0012,DCC0288,0.7510541614908438,12,Bevacizumab,Fludarabine
DCC0012,DCC0429,0.7849284091085507,10,Bevacizumab,Afatinib
DCC0012,DCC0420,0.7699396490560044,11,Bevacizumab,Tirapazamine
DCC0012,DCC0275,0.7638444521804701,11,Bevacizumab,Procainamide
DCC0012,DCC0088,0.7608011048248495,10,Bevacizumab,Trifluridine
DCC0012,DCC0067,0.7783857258243722,11,Bevacizumab,Vinorelbine
